id;name;latitude;longitude
1;Jakarta;-5.862068;128.830969
2;Surabaya;4.195284;115.985776
3;Bandung;-6.229021;132.005038
4;Bekasi;-5.052122;96.048129
5;Medan;-7.073954;122.882622
6;Tangerang;-5.218806;132.604951
7;Depok;0.858311;134.775668
8;Semarang;-2.945053;123.990163
9;Makassar;-4.868952;134.911304
10;Batam;-1.904371;109.5034
11;Palembang;-6.376951;128.811012
12;Bogor;1.710709;105.507472
13;Bandar Lampung;-7.99365;100.754946
14;Pekanbaru;4.994811;116.587404
15;Malang;2.961975;118.907362
16;Padang;-1.19024;99.531717
17;Denpasar;3.313275;134.172061
18;Surakarta;-7.34194;115.041711
19;Yogyakarta;-5.823709;113.325636
20;Mataram;-1.080815;123.899532
21;Manado;-6.493444;111.357824
22;Pontianak;2.815323;127.838152
23;Palangkaraya;-2.065989;139.598976
24;Banjarmasin;2.69955;132.707085
25;Balikpapan;-9.462893;111.927252
26;Ambon;-1.00422;138.367942
27;Jambi;4.78561;114.063812
28;Serang;-6.484953;95.421229
29;Cirebon;-3.932096;127.817868
30;Kupang;-9.884354;111.185728
